Name,YearPublished,GameWeight,MinPlayers,MaxPlayers,ComAgeRec,InterestScore,NumWeightVotes,log_NumWeightVotes,PlaytimeComAvg,NumUserRatings,log_NumUserRatings,NumAlternates,NumAlternates_log,NumExpansions,NumExpansions_log,NumImplementations,NumImplementations_log,IsReimplementation,Kickstarted,Cat:Thematic,Cat:Strategy,Cat:War,Cat:Family,Cat:CGS,Cat:Abstract,Cat:Party,Cat:Childrens,Rating,InterestScore_log
Skåål,2004,1.875,3,6,10.0,117.66666666666667,16,2.833213344056216,60.0,143,4.969813299576001,3,1.3862943611198906,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,4.77631844218392
Arcanya: Magic Academy,2015,1.6667,3,10,4.666666666666667,25.333333333333332,3,1.3862943611198906,25.0,48,3.8918202981106265,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,3.270835563798912
Isis & Osiris,2001,1.3537,2,4,6.0,610.3333333333334,82,4.418840607796598,15.0,973,6.881411303642535,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,6.415642364148301
London After Midnight 2: Sherlock in Hell,2016,1.3333,2,6,10.0,74.33333333333333,3,1.3862943611198906,12.5,91,4.5217885770490405,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,4.321922710604176
The Horus Heresy: Betrayal at Calth,2015,2.5455,2,2,10.0,315.3333333333333,11,2.4849066497880004,45.0,209,5.3471075307174685,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,3,5.756796509941818
Valley of the Vikings,2019,1.4286,2,4,4.833333333333333,497.0,14,2.70805020110221,17.5,602,6.401917196727186,6,1.9459101490553132,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,2,6.210600077024653
Blindes Huhn,2007,1.6429,3,5,8.0,64.33333333333333,14,2.70805020110221,30.0,112,4.727387818712341,0,0.0,0,0.0,1,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1,4.179502370562408
Planetopia,2019,2.0,2,5,7.0,44.333333333333336,3,1.3862943611198906,37.5,36,3.6109179126442243,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,3.8140425970679424
Dark Emperor,1985,3.1429,2,2,14.0,233.66666666666666,21,3.091042453358316,180.0,182,5.209486152841421,0,0.0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,5.458166067489933
Emu Ranchers,2008,1.5714,2,2,10.0,60.0,7,2.0794415416798357,15.0,102,4.634728988229636,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,2,4.110873864173311
Robin Hood,1999,1.75,3,6,10.0,79.33333333333333,4,1.6094379124341003,30.0,84,4.442651256490317,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,4.386184644822546
Switching Tracks,2015,2.3636,2,5,8.666666666666666,103.33333333333333,11,2.4849066497880004,60.0,109,4.700480365792417,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,2,4.647590901872044
Think Str8!,2015,2.3333,2,4,12.0,193.33333333333334,12,2.5649493574615367,60.0,228,5.43372200355424,0,0.0,0,0.0,1,0.6931471805599453,0,0,0,0,0,1,0,0,0,0,2,5.269574897682383
Willy Waschbär,2001,1.6667,2,4,5.0,49.333333333333336,6,1.9459101490553132,15.0,40,3.713572066704308,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,3.9186675481468147
Claim 2,2018,1.5238,2,2,9.77777777777778,1297.0,21,3.091042453358316,25.0,1116,7.018401799069201,2,1.0986122886681098,14,2.70805020110221,0,0.0,0,0,0,0,0,1,0,0,0,0,3,7.168579897264035
Hold the Line,2008,1.8247,2,2,10.5,420.3333333333333,97,4.584967478670572,60.0,536,6.285998094508865,0,0.0,3,1.3862943611198906,2,1.0986122886681098,1,0,0,0,1,0,0,0,0,0,3,6.043424286038693
Stalingrad Pocket: The Wehrmacht's Greatest Disaster – 2nd Edition,1996,2.6522,2,2,14.5,480.0,69,4.248495242049359,540.0,430,6.066108090103747,0,0.0,0,0.0,1,0.6931471805599453,1,0,0,0,1,0,0,0,0,0,3,6.175867270105761
Blueprints,2013,1.6836,2,4,8.451612903225806,3230.6666666666665,256,5.54907608489522,30.0,6337,8.754318540250866,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,2,8.080753279008642
Make 7,1994,2.0,2,2,8.0,46.333333333333336,2,1.0986122886681098,20.0,44,3.8066624897703196,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,3.8572147689331513
Grand Armee: Great Battles of the Napoleonic Wars Miniature Wargame Rules System,2002,3.1,2,4,12.0,35.0,10,2.3978952727983707,120.0,39,3.6888794541139363,2,1.0986122886681098,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,3,3.58351893845611
Salem,2016,2.8,3,7,13.333333333333334,285.0,5,1.791759469228055,135.0,210,5.351858133476067,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,2,5.655991810819852
Professor Tempus,2013,1.1667,2,5,8.0,44.333333333333336,6,1.9459101490553132,20.0,57,4.060443010546419,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,3.8140425970679424
City,1988,1.7143,2,6,10.0,81.33333333333333,7,2.0794415416798357,30.0,115,4.7535901911063645,0,0.0,0,0.0,1,0.6931471805599453,0,0,0,0,0,0,0,0,0,0,1,4.410776047959867
Inoka,2018,1.125,2,4,5.0,165.66666666666666,8,2.1972245773362196,12.5,141,4.955827057601261,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,5.115995809754082
Adorable Pandaring,2015,1.2222,3,5,8.0,195.66666666666666,9,2.302585092994046,7.5,223,5.4116460518550396,0,0.0,0,0.0,0,0.0,0,1,0,0,0,0,0,0,0,0,1,5.281510248231656
Sink the Bismarck!,1992,3.0,2,2,14.0,54.666666666666664,7,2.0794415416798357,180.0,41,3.7376696182833684,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,4.019381523748645
Sapphiro,2016,2.0,2,4,10.0,38.666666666666664,0,0.0,37.5,33,3.5263605246161616,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,3.6805112044434196
Rory's Story Cubes: Moomin,2015,1.0,1,12,6.0,114.66666666666667,1,0.6931471805599453,20.0,54,4.007333185232471,1,0.6931471805599453,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,4.750712491278749
Unlock!: Escape Adventures – Fifth Avenue,2017,1.5833,1,6,9.428571428571429,344.3333333333333,12,2.5649493574615367,30.0,552,6.315358001522335,3,1.3862943611198906,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,5.844510134151319
Treasure Hunter,2015,1.8673,2,6,7.8,1742.0,98,4.59511985013459,40.0,2796,7.936302693201959,5,1.791759469228055,2,1.0986122886681098,0,0.0,0,0,0,0,0,1,0,0,0,0,2,7.463363045520021
Word Mastermind,1972,1.6667,2,2,8.0,139.0,9,2.302585092994046,10.0,113,4.736198448394496,10,2.3978952727983707,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0,0,1,4.941642422609304
The Princess Bride: Prepare to Die,2013,1.0,3,10,4.0,99.0,4,1.6094379124341003,15.0,102,4.634728988229636,0,0.0,2,1.0986122886681098,0,0.0,0,1,0,0,0,0,0,0,0,0,1,4.605170185988092
Bible TriBond,2000,1.0,2,12,10.0,23.0,3,1.3862943611198906,90.0,34,3.5553480614894135,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,3.1780538303479458
Rommel at Bay,1984,3.0769,2,2,16.0,56.666666666666664,13,2.6390573296152584,90.0,43,3.784189633918261,0,0.0,0,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,2,4.054679305829669
